,time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE,RUL
0,0,0.916,4.37,-1.372,0.102,0.041,0.069,0.018,0.031416355,0,0.179503016
1,35,4.503,-1.038,1.088,-0.026,-0.022,0.027,0.03,0.031416355,0,0.179503016
2,70,5.055,5.657,2.566,0.103,0.034,0.086,0.026,0.031416355,0,0.179503016
3,105,0.418,2.316,0.148,-0.03,-0.017,-0.04,0.028,0.03489277,0,0.176026601
4,140,2.808,3.288,0.921,-0.029,-0.027,-0.036,0.023,0.03489277,0,0.176026601
5,175,3.636,-7.877,2.948,-0.042,0.016,-0.059,0.028,0.038102847,0,0.172816524
6,210,2.18,5.63,-1.225,0.088,0.004,0.014,0.066,0.038102847,0,0.172816524
7,245,-0.053,-1.585,0.402,0.011,-0.008,0.004,0.073,0.038102847,0,0.172816524
8,280,5.293,3.382,5.1,-0.005,-0.043,-0.028,0.101,0.041061023,0,0.169858348
9,315,3.061,11.283,-1.75,0.048,0.047,0.069,0.103,0.041061023,0,0.169858348
10,350,-0.504,1.452,3.061,0.074,0.106,0.083,0.075,0.041061023,0,0.169858348
11,385,-0.394,-0.112,0.817,0.037,0.062,0.04,0.081,0.041061023,0,0.169858348
12,420,6.294,3.405,-0.803,0.078,0.016,0.068,0.08,0.043781191,0,0.16713818
13,455,1.897,-0.818,3.878,-0.102,-0.033,-0.105,0.082,0.043781191,0,0.16713818
14,490,1.479,6.754,-0.094,-0.009,-0.07,-0.005,0.079,0.043781191,0,0.16713818
15,525,5.508,16.689,1.303,0.024,0.022,0.014,0.073,0.04627671,0,0.164642661
16,560,0.787,4.709,0.982,0.045,0.006,-0.06,0.096,0.04627671,0,0.164642661
17,595,0.756,-2.996,-0.573,-0.014,-0.033,-0.011,0.079,0.04627671,0,0.164642661
18,630,-0.437,-0.719,-1.244,-0.157,-0.017,-0.132,0.063,0.048560421,0,0.16235895
19,665,1.699,3.13,5.235,-0.033,-0.025,-0.002,0.102,0.048560421,0,0.16235895
20,700,6.227,2.747,-3.341,-0.043,-0.063,-0.021,0.099,0.048560421,0,0.16235895
21,735,0.332,2.938,4.834,-0.043,0.011,-0.038,0.123,0.05064466,0,0.160274711
22,770,8.472,0.859,-1.751,-0.083,-0.181,-0.102,0.097,0.05064466,0,0.160274711
23,805,3.302,-6.618,7.739,0.044,0.023,-0.013,0.072,0.05064466,0,0.160274711
24,840,0.518,1.151,-2.867,-0.1,-0.086,-0.087,-0.005,0.052541276,0,0.158378095
25,875,1.08,2.2,6.685,0.065,-0.046,0,0.117,0.052541276,0,0.158378095
26,910,0.925,-0.104,-3.519,-0.084,-0.056,-0.05,0.102,0.052541276,0,0.158378095
27,945,5.754,12.267,1.373,0.018,0,0.026,0.164,0.052541276,0,0.158378095
28,980,5.279,9.564,-6.22,-0.087,-0.104,-0.072,0.124,0.054261641,0,0.15665773
29,1015,2.583,-3.327,-4.783,-0.034,0.006,-0.032,0.139,0.054261641,0,0.15665773
30,1050,0.396,4.699,4.531,-0.058,-0.033,-0.122,0.09,0.054261641,0,0.15665773
31,1085,0.009,8.459,-5.591,-0.014,0.091,-0.005,0.111,0.055816664,0,0.155102707
32,1120,4.383,6.331,-2.366,-0.076,-0.001,-0.045,0.12,0.055816664,0,0.155102707
33,1155,2.159,-1.137,2.028,-0.05,0.053,-0.034,0.11,0.055816664,0,0.155102707
34,1190,3.003,6.255,-5.009,-0.048,0.021,-0.035,0.083,0.057216807,0,0.153702564
35,1225,7.955,10.794,0.153,-0.114,-0.109,-0.062,0.145,0.057216807,0,0.153702564
36,1260,0.474,1.021,3.031,0.021,0.04,-0.084,0.118,0.057216807,0,0.153702564
37,1295,3.123,-7.649,9.285,-0.006,-0.051,0.068,0.176,0.058472096,0,0.152447275
38,1330,2.714,8.751,-4.026,-0.042,0.065,0.019,0.126,0.058472096,0,0.152447275
39,1365,3.225,7.687,2.941,0.049,0.037,0.079,0.1,0.058472096,0,0.152447275
40,1400,0.18,0.364,-2.182,0.003,0.006,0.003,-0.004,0.058472096,0,0.152447275
41,1435,10.095,-2.003,-0.727,0.169,0.013,0.163,0.116,0.059592133,0,0.151327238
42,1470,0.229,-1.624,8.835,0.151,-0.002,0.013,0.117,0.059592133,0,0.151327238
