,time,axial_force,vibration1,vibration2,vibration_x,vibration_y,force_z,tool_wear,ACTION_CODE,RUL
0,0,150.73,4.057,4.2318,4.057,4.2318,150.73,0.117594782,0,0.145045822
1,44,179.43,-7.0756,-6.8244,-7.0756,-6.8244,179.43,0.117875668,0,0.144764936
2,88,452.18,5.7764,6.381,5.7764,6.381,452.18,0.118156254,0,0.14448435
3,132,-64.597,-0.5378,-0.2583,-0.5378,-0.2583,-64.597,0.118436527,0,0.144204077
4,176,-136.37,7.0589,7.501,7.0589,7.501,-136.37,0.118716473,0,0.143924131
5,220,78.951,-0.0212,0.3952,-0.0212,0.3952,78.951,0.118996079,0,0.143644525
6,264,409.11,2.9859,3.3283,2.9859,3.3283,409.11,0.119275327,0,0.143365277
7,308,337.34,-3.9702,-3.5642,-3.9702,-3.5642,337.34,0.119554202,0,0.143086402
8,352,236.85,-7.057,-6.8752,-7.057,-6.8752,236.85,0.119832687,0,0.142807917
9,396,-7.1774,-0.4787,-0.2384,-0.4787,-0.2384,-7.1774,0.120110763,0,0.142529841
10,440,351.69,0.1446,0.4382,0.1446,0.4382,351.69,0.120388413,0,0.142252191
11,484,452.18,3.8103,3.9812,3.8103,3.9812,452.18,0.120665616,0,0.141974988
12,528,423.47,4.3571,5.0028,4.3571,5.0028,423.47,0.120942356,0,0.141698248
13,572,279.92,4.4174,4.6597,4.4174,4.6597,279.92,0.121218612,0,0.141421992
14,616,-107.66,-1.3249,-1.0062,-1.3249,-1.0062,-107.66,0.121494366,0,0.141146238
15,660,380.4,5.6974,6.3508,5.6974,6.3508,380.4,0.121769599,0,0.140871005
16,704,208.14,-2.272,-2.3363,-2.272,-2.3363,208.14,0.122044294,0,0.14059631
17,748,337.34,9.7132,10.242,9.7132,10.242,337.34,0.122318433,0,0.140322171
18,792,251.21,-0.3238,0.0745,-0.3238,0.0745,251.21,0.122591999,0,0.140048605
19,836,394.76,2.9068,3.4035,2.9068,3.4035,394.76,0.122864977,0,0.139775627
20,880,-107.66,3.4575,3.5642,3.4575,3.5642,-107.66,0.123137351,0,0.139503253
21,924,-423.47,-2.5856,-2.1242,-2.5856,-2.1242,-423.47,0.123409107,0,0.139231497
22,968,452.18,6.6676,7.1,6.6676,7.1,452.18,0.123680233,0,0.138960371
23,1012,236.85,-3.649,-3.3483,-3.649,-3.3483,236.85,0.123950718,0,0.138689886
24,1056,78.951,-6.613,-6.4408,-6.613,-6.4408,78.951,0.124220552,0,0.138420052
25,1100,93.306,4.0583,4.4419,4.0583,4.4419,93.306,0.124489726,0,0.138150878
26,1144,251.21,0.3746,0.6515,0.3746,0.6515,251.21,0.124758236,0,0.137882368
27,1188,265.56,-1.9263,-1.8486,-1.9263,-1.8486,265.56,0.125026076,0,0.137614528
28,1232,552.66,10.538,11.241,10.538,11.241,552.66,0.125293244,0,0.13734736
29,1276,21.532,11.37,12.05,11.37,12.05,21.532,0.12555974,0,0.137080864
