,time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE,RUL
0,0,-0.368,1.829,0.328,0.099,0.065,0.063,-0.004,0.062788648,0,0.171927301
1,34,1.502,1.234,-1.24,-0.064,-0.049,-0.056,0.006,0.062788648,0,0.171927301
2,68,1.361,0.232,0.853,0.06,0.066,0.049,0.003,0.062788648,0,0.171927301
3,102,0.617,5.699,1.24,-0.071,0.032,-0.027,0.069,0.064136043,0,0.170579906
4,136,0.4,0.342,3.783,-0.147,-0.144,-0.139,0.069,0.064136043,0,0.170579906
5,170,1.858,-0.485,-3.103,0.019,0.057,0.04,0.046,0.064136043,0,0.170579906
6,204,3.207,3.396,2.647,0.061,0.052,0.066,0.112,0.064136043,0,0.170579906
7,238,0.714,1.136,2.374,-0.033,-0.147,-0.124,0.08,0.065365273,0,0.169350676
8,272,3.152,1.794,-1.369,0.046,-0.01,0.048,0.077,0.065365273,0,0.169350676
9,306,0.855,-0.474,3.407,0.117,0.11,0.083,0.112,0.065365273,0,0.169350676
10,340,-0.305,3.673,-3.471,-0.114,0.091,-0.126,0.099,0.06648688,0,0.168229069
11,374,5.123,8.621,0.556,0.009,-0.04,-0.024,0.097,0.06648688,0,0.168229069
12,408,2.109,-0.086,2.824,0.054,-0.144,-0.063,0.093,0.06648688,0,0.168229069
13,442,0.23,-3.055,4.366,0.077,0.005,0.177,0.065,0.067510808,0,0.167205141
14,476,1.295,4.708,-1.957,-0.023,0.164,0.114,0.115,0.067510808,0,0.167205141
15,510,2.229,0.85,2.183,-0.023,0.032,0.009,0.086,0.067510808,0,0.167205141
16,544,3.141,-2.988,8.444,0.027,0.093,0.032,0.108,0.068446425,0,0.166269524
17,578,7.733,3.361,0.923,-0.141,-0.037,-0.19,0.111,0.068446425,0,0.166269524
18,612,6.071,-0.373,-3.794,0.038,-0.032,0.057,0.11,0.068446425,0,0.166269524
19,646,0.672,1.315,0.358,0.077,0.045,0.056,-0.005,0.069302543,0,0.165413406
20,680,0.434,2.125,6.884,-0.041,-0.101,-0.036,0.11,0.069302543,0,0.165413406
21,714,4.22,4.12,-4.549,-0.002,0.068,0.015,0.105,0.069302543,0,0.165413406
22,748,6.678,8.264,2.499,0.07,0.037,-0.004,0.14,0.069302543,0,0.165413406
23,782,6.571,-0.433,-0.206,0.057,0.017,0.198,0.128,0.070087442,0,0.164628507
24,816,2.253,6.407,3.493,-0.071,-0.077,-0.167,0.164,0.070087442,0,0.164628507
25,850,1.372,3.107,3.028,-0.071,-0.158,-0.17,0.106,0.070087442,0,0.164628507
26,884,3.717,7.338,5.629,0.16,0.308,0.404,0.088,0.070808889,0,0.16390706
27,918,1.022,-0.894,3.388,-0.18,-0.17,-0.165,0.094,0.070808889,0,0.16390706
28,952,4.842,8.355,-3.087,0.073,0.128,0.158,0.096,0.070808889,0,0.16390706
29,986,6.933,1.365,-1.258,0.014,0.047,-0.088,0.092,0.071474155,0,0.163241794
30,1020,9.506,0.332,-0.305,-0.026,-0.135,0.052,0.12,0.071474155,0,0.163241794
31,1054,1.541,2.839,4.717,-0.058,0.189,0.037,0.091,0.071474155,0,0.163241794
32,1088,0.219,-6.783,8.808,0.031,-0.073,0.178,0.251,0.072090041,0,0.162625908
33,1122,-0.129,9.606,0.563,0.074,0.057,-0.13,0.133,0.072090041,0,0.162625908
34,1156,6.639,-0.792,-5.996,-0.022,-0.123,-0.076,0.089,0.072090041,0,0.162625908
35,1190,5.615,16.336,8.219,-0.058,-0.013,-0.023,0.158,0.072090041,0,0.162625908
36,1224,1.55,-7.933,-2.073,0.029,-0.161,0.058,0.131,0.074134325,0,0.160581624
37,1258,1.909,10.153,4.006,-0.007,0.103,0.02,0.12,0.074134325,0,0.160581624
38,1292,3.052,1.519,4.336,-0.016,-0.037,0.071,0.107,0.074134325,0,0.160581624
39,1326,-1.538,-7.682,-2.661,0.078,-0.084,0.091,0.113,0.07521507,0,0.159500879
40,1360,2.833,12.293,6.678,-0.005,0.114,0.078,0.122,0.07521507,0,0.159500879
41,1394,2.693,-4.869,0.721,0.001,0.1,0.078,0.097,0.07521507,0,0.159500879
42,1428,2.914,12.329,0.68,0.006,-0.047,-0.152,0.098,0.076295816,0,0.158420133
43,1462,-0.255,0.511,6.283,-0.031,-0.008,-0.105,0.152,0.076295816,0,0.158420133
44,1496,-0.712,4.326,4.889,-0.068,-0.17,-0.067,0.099,0.076295816,0,0.158420133
45,1530,3.318,9.36,0.555,0.153,-0.03,-0.017,0.229,0.077376562,0,0.157339387
46,1564,-0.25,0.786,8.142,0.033,0.178,0.128,0.141,0.077376562,0,0.157339387
47,1598,-0.047,4.324,7.538,0.037,-0.071,0.065,0.102,0.077376562,0,0.157339387
48,1632,2.233,4.036,-0.728,-0.008,-0.017,-0.041,0.163,0.077376562,0,0.157339387
49,1666,-0.456,2.145,3.434,-0.106,-0.242,-0.075,0.13,0.078457307,0,0.156258642
50,1700,-2.666,2.514,0.27,-0.239,-0.13,-0.2,0.102,0.078457307,0,0.156258642
51,1734,9.338,4.788,-1.386,0.056,-0.03,-0.025,0.1,0.078457307,0,0.156258642
52,1768,-0.303,4.539,1.014,0.243,0.085,-0.032,0.123,0.079538053,0,0.155177896
53,1802,1.765,1.834,12.077,0.065,-0.015,0.092,0.108,0.079538053,0,0.155177896
54,1836,4.489,-0.655,0.713,0,-0.165,-0.156,0.109,0.079538053,0,0.155177896
55,1870,0.011,-5.079,-3.257,-0.095,-0.011,-0.04,0.075,0.080618799,0,0.15409715
56,1904,5.549,9.016,0.932,0.049,-0.016,-0.026,0.119,0.080618799,0,0.15409715
57,1938,2.619,1.574,11.076,-0.033,0.089,0.139,0.089,0.080618799,0,0.15409715
58,1972,0.831,-7.456,10.12,-0.017,-0.079,0.039,0.139,0.081699544,0,0.153016405
59,2006,4.185,4.506,-1.578,-0.023,-0.002,-0.239,0.123,0.081699544,0,0.153016405
60,2040,1.291,-4.95,-2.851,-0.16,-0.07,-0.154,0.108,0.081699544,0,0.153016405
61,2074,8.699,7.718,1.509,-0.064,-0.054,-0.116,0.216,0.081699544,0,0.153016405
