,time,axial_force,vibration1,vibration2,vibration_x,vibration_y,force_z,tool_wear,ACTION_CODE,RUL
0,0,107.66,4.0846,4.7998,4.0846,4.7998,107.66,0.06,0,0.11
1,19,179.43,0.7967,1.5029,0.7967,1.5029,179.43,0.06,0,0.11
2,38,509.6,3.1465,3.8649,3.1465,3.8649,509.6,0.06,0,0.11
3,57,351.69,4.4361,5.2219,4.4361,5.2219,351.69,0.06,0,0.11
4,76,35.887,3.0096,3.6862,3.0096,3.6862,35.887,0.06,0,0.11
5,95,351.69,-7.5633,-7.0486,-7.5633,-7.0486,351.69,0.06,0,0.11
6,114,552.66,3.2821,4.0017,3.2821,4.0017,552.66,0.06,0,0.11
7,133,35.887,-4.118,-3.4434,-4.118,-3.4434,35.887,0.06,0,0.11
8,152,-7.1774,5.7141,6.4132,5.7141,6.4132,-7.1774,0.06,0,0.11
9,171,122.02,-1.2067,-0.586,-1.2067,-0.586,122.02,0.06,0,0.11
10,190,251.21,-0.275,0.3309,-0.275,0.3309,251.21,0.06,0,0.11
11,209,351.69,5.274,5.9743,5.274,5.9743,351.69,0.06,0,0.11
12,228,337.34,0.4202,1.0679,0.4202,1.0679,337.34,0.06,0,0.11
13,247,7.1774,-2.3478,-1.7483,-2.3478,-1.7483,7.1774,0.06,0,0.11
14,266,107.66,-3.6149,-2.8966,-3.6149,-2.8966,107.66,0.06,0,0.11
15,285,-78.951,0.6573,1.2954,0.6573,1.2954,-78.951,0.06,0,0.11
16,304,122.02,5.3877,6.1202,5.3877,6.1202,122.02,0.06,0,0.11
17,323,-93.306,-3.3733,-2.8092,-3.3733,-2.8092,-93.306,0.06,0,0.11
18,342,165.08,4.7946,5.5033,4.7946,5.5033,165.08,0.06,0,0.11
19,361,179.43,4.4065,5.1583,4.4065,5.1583,179.43,0.06,0,0.11
20,380,193.79,8.5387,9.3374,8.5387,9.3374,193.79,0.06,0,0.11
21,399,-308.63,9.2134,10.018,9.2134,10.018,-308.63,0.06,0,0.11
22,418,150.73,4.8126,5.7404,4.8126,5.7404,150.73,0.06,0,0.11
23,437,251.21,9.5635,10.387,9.5635,10.387,251.21,0.06,0,0.11
24,456,-7.1774,10.13,10.966,10.13,10.966,-7.1774,0.06,0,0.11
25,475,193.79,-1.474,-0.8546,-1.474,-0.8546,193.79,0.06,0,0.11
26,494,380.4,3.6001,4.4117,3.6001,4.4117,380.4,0.06,0,0.11
27,513,122.02,9.4267,10.317,9.4267,10.317,122.02,0.06,0,0.11
28,532,208.14,-6.3059,-5.7456,-6.3059,-5.7456,208.14,0.06,0,0.11
29,551,236.85,0.1754,0.8192,0.1754,0.8192,236.85,0.06,0,0.11
30,570,136.37,-0.5198,0.151,-0.5198,0.151,136.37,0.06,0,0.11
31,589,50.242,4.3853,5.0793,4.3853,5.0793,50.242,0.06,0,0.11
32,608,-193.79,-2.964,-2.3723,-2.964,-2.3723,-193.79,0.06,0,0.11
33,627,351.69,-3.1317,-2.5522,-3.1317,-2.5522,351.69,0.06,0,0.11
34,646,409.11,-7.3339,-6.8032,-7.3339,-6.8032,409.11,0.06,0,0.11
35,665,294.27,-0.8449,-0.2197,-0.8449,-0.2197,294.27,0.06,0,0.11
36,684,64.597,0.4074,1.0859,0.4074,1.0859,64.597,0.06,0,0.11
37,703,222.5,3.8604,4.6019,3.8604,4.6019,222.5,0.06,0,0.11
38,722,265.56,3.7421,4.4419,3.7421,4.4419,265.56,0.06,0,0.11
39,741,179.43,-3.3168,-2.5785,-3.3168,-2.5785,179.43,0.06,0,0.11
40,760,150.73,2.6376,3.3701,2.6376,3.3701,150.73,0.06,0,0.11
41,779,165.08,9.4164,10.309,9.4164,10.309,165.08,0.06,0,0.11
42,798,394.76,6.356,7.2536,6.356,7.2536,394.76,0.06,0,0.11
43,817,193.79,-0.3836,0.2647,-0.3836,0.2647,193.79,0.06,0,0.11
44,836,-366.05,-1.5504,-0.9516,-1.5504,-0.9516,-366.05,0.06,0,0.11
45,855,-193.79,-5.8426,-5.2701,-5.8426,-5.2701,-193.79,0.06,0,0.11
46,874,322.98,2.6447,3.3669,2.6447,3.3669,322.98,0.06,0,0.11
47,893,165.08,-4.012,-3.3007,-4.012,-3.3007,165.08,0.06,0,0.11
48,912,-7.1774,1.4239,2.1172,1.4239,2.1172,-7.1774,0.06,0,0.11
49,931,35.887,2.0484,2.7134,2.0484,2.7134,35.887,0.06,0,0.11
50,950,193.79,0.4138,1.066,0.4138,1.066,193.79,0.06,0,0.11
51,969,136.37,4.8017,5.5535,4.8017,5.5535,136.37,0.06,0,0.11
52,988,265.56,2.3459,3.0443,2.3459,3.0443,265.56,0.06,0,0.11
53,1007,452.18,-3.3804,-2.6768,-3.3804,-2.6768,452.18,0.06,0,0.11
54,1026,-193.79,3.4196,4.2973,3.4196,4.2973,-193.79,0.06,0,0.11
55,1045,409.11,-1.0795,-0.3817,-1.0795,-0.3817,409.11,0.06,0,0.11
56,1064,64.597,2.2624,2.9563,2.2624,2.9563,64.597,0.06,0,0.11
57,1083,64.597,3.8289,4.4926,3.8289,4.4926,64.597,0.06,0,0.11
58,1102,495.24,10.508,11.397,10.508,11.397,495.24,0.06,0,0.11
59,1121,251.21,-5.0921,-4.5003,-5.0921,-4.5003,251.21,0.06,0,0.11
60,1140,193.79,5.5419,6.2686,5.5419,6.2686,193.79,0.06,0,0.11
61,1159,107.66,-0.78,-0.1722,-0.78,-0.1722,107.66,0.06,0,0.11
62,1178,251.21,-0.1041,0.5764,-0.1041,0.5764,251.21,0.06,0,0.11
63,1197,107.66,4.136,4.9083,4.136,4.9083,107.66,0.06,0,0.11
64,1216,-50.242,4.2491,4.9514,4.2491,4.9514,-50.242,0.06,0,0.11
65,1235,107.66,-0.2506,0.3964,-0.2506,0.3964,107.66,0.06,0,0.11
66,1254,251.21,0.8957,1.6436,0.8957,1.6436,251.21,0.06,0,0.11
67,1273,351.69,-3.7499,-3.0456,-3.7499,-3.0456,351.69,0.06,0,0.11
68,1292,50.242,-5.6987,-5.1551,-5.6987,-5.1551,50.242,0.06,0,0.11
69,1311,35.887,0.656,1.3146,0.656,1.3146,35.887,0.06,0,0.11
70,1330,236.85,2.9839,3.6663,2.9839,3.6663,236.85,0.06,0,0.11
71,1349,366.05,4.5235,5.2855,4.5235,5.2855,366.05,0.06,0,0.11
72,1368,294.27,-0.5404,0.0707,-0.5404,0.0707,294.27,0.06,0,0.11
73,1387,351.69,5.6781,6.4459,5.6781,6.4459,351.69,0.06,0,0.11
74,1406,-193.79,4.4695,5.1962,4.4695,5.1962,-193.79,0.06,0,0.11
75,1425,337.34,-4.2485,-3.6888,-4.2485,-3.6888,337.34,0.06,0,0.11
76,1444,136.37,2.7051,3.4601,2.7051,3.4601,136.37,0.06,0,0.11
77,1463,251.21,4.3204,5.1885,4.3204,5.1885,251.21,0.06,0,0.11
78,1482,35.887,7.0159,7.7651,7.0159,7.7651,35.887,0.06,0,0.11
79,1501,337.34,-1.314,-0.667,-1.314,-0.667,337.34,0.06,0,0.11
80,1520,337.34,5.4294,6.3033,5.4294,6.3033,337.34,0.06,0,0.11
81,1539,35.887,-0.1381,0.5442,-0.1381,0.5442,35.887,0.06,0,0.11
82,1558,222.5,5.6081,6.3855,5.6081,6.3855,222.5,0.06,0,0.11
83,1577,222.5,2.4269,3.1921,2.4269,3.1921,222.5,0.06,0,0.11
84,1596,322.98,4.2311,4.9495,4.2311,4.9495,322.98,0.06,0,0.11
85,1615,-136.37,-4.474,-3.897,-4.474,-3.897,-136.37,0.06,0,0.11
86,1634,193.79,8.5053,9.3811,8.5053,9.3811,193.79,0.06,0,0.11
87,1653,308.63,-4.3224,-3.6541,-4.3224,-3.6541,308.63,0.06,0,0.11
88,1672,-35.887,4.1289,4.9071,4.1289,4.9071,-35.887,0.06,0,0.11
